Date : 2026-01-17 02:12:26
Directory : e:\deno-code\deno-preact-iso
Total : 101 files,  5020 codes, 227 comments, 378 blanks, all 5625 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\deno-code\deno-preact-iso\libs\build\seed.ts                              | TypeScript         |         46 |          2 |          3 |         51 |
| e:\deno-code\deno-preact-iso\libs\build\ssr-loader.tsx                       | TypeScript JSX     |        106 |         15 |         17 |        138 |
| e:\deno-code\deno-preact-iso\libs\build\tests\test-fetch-build.ts            | TypeScript         |          4 |          0 |          1 |          5 |
| e:\deno-code\deno-preact-iso\libs\build\types\Common.ts                      | TypeScript         |          5 |          0 |          1 |          6 |
| e:\deno-code\deno-preact-iso\libs\build\types\Dialect.ts                     | TypeScript         |          4 |          1 |          1 |          6 |
| e:\deno-code\deno-preact-iso\libs\build\types\OpenApiContext.ts              | TypeScript         |          5 |          0 |          2 |          7 |
| e:\deno-code\deno-preact-iso\libs\build\types\SysDb.ts                       | TypeScript         |         24 |          0 |          3 |         27 |
| e:\deno-code\deno-preact-iso\libs\build\types\SysPlugin.ts                   | TypeScript         |         18 |          3 |          4 |         25 |
| e:\deno-code\deno-preact-iso\libs\build\types\SysTenant.ts                   | TypeScript         |         20 |          1 |          4 |         25 |
| e:\deno-code\deno-preact-iso\libs\build\types\db.ts                          | TypeScript         |         11 |          0 |          1 |         12 |
| e:\deno-code\deno-preact-iso\libs\build\types\mod.ts                         | TypeScript         |          7 |          0 |          1 |          8 |
| e:\deno-code\deno-preact-iso\libs\shadcn\TODO.md                             | Markdown           |          6 |          0 |          0 |          6 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Accordion.tsx            | TypeScript JSX     |         91 |          0 |          3 |         94 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Alert.tsx                | TypeScript JSX     |         62 |          0 |          7 |         69 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Badge.tsx                | TypeScript JSX     |         31 |          0 |          5 |         36 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Button.tsx               | TypeScript JSX     |         51 |          0 |          5 |         56 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Card.tsx                 | TypeScript JSX     |         53 |          0 |          6 |         59 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Checkbox.tsx             | TypeScript JSX     |         31 |          3 |          2 |         36 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Dialog.tsx               | TypeScript JSX     |         95 |          0 |          7 |        102 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Divider.tsx              | TypeScript JSX     |         22 |          0 |          2 |         24 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\DropdownMenu.tsx         | TypeScript JSX     |        129 |          0 |         10 |        139 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Icons.tsx                | TypeScript JSX     |        487 |          0 |          8 |        495 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Input.tsx                | TypeScript JSX     |         23 |          0 |          3 |         26 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Label.tsx                | TypeScript JSX     |         19 |          0 |          5 |         24 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Pagination.tsx           | TypeScript JSX     |          0 |         64 |          8 |         72 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Sidebar.tsx              | TypeScript JSX     |         45 |          1 |          3 |         49 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Table.tsx                | TypeScript JSX     |        102 |          0 |         11 |        113 |
| e:\deno-code\deno-preact-iso\libs\shadcn\components\Theme.tsx                | TypeScript JSX     |         43 |          7 |          6 |         56 |
| e:\deno-code\deno-preact-iso\libs\shadcn\deno.json                           | JSON               |         23 |          0 |          0 |         23 |
| e:\deno-code\deno-preact-iso\libs\shadcn\mod.tsx                             | TypeScript JSX     |         16 |          1 |          1 |         18 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro.ts                              | TypeScript         |          6 |          0 |          1 |          7 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\components\ProTable.tsx         | TypeScript JSX     |        227 |         37 |         17 |        281 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppBreadmun.tsx         | TypeScript JSX     |         24 |          0 |          1 |         25 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppNavbar.tsx           | TypeScript JSX     |        166 |         13 |         10 |        189 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\AppSidebar.tsx          | TypeScript JSX     |        204 |          2 |         17 |        223 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Base.tsx                | TypeScript JSX     |         34 |          0 |          2 |         36 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Dash.tsx                | TypeScript JSX     |         21 |          0 |          3 |         24 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Menu.tsx                | TypeScript JSX     |          6 |          1 |          1 |          8 |
